ds,yhat,yhat_lower,yhat_upper
2016-07-11,35.39155669986665,33.67318182348722,36.94887706505146
2016-07-12,35.32913815184709,33.80798527518482,36.97535432155921
2016-07-13,35.380167753337,33.735227310698235,36.92394443391647
2016-07-14,35.36783844780019,33.83793778668456,36.901249536131516
2016-07-15,35.36587530530687,33.70971404100619,36.88876463630625
2016-07-18,35.345627825812706,33.63610118343513,36.955801961281026
2016-07-19,35.283209277793205,33.7913020820427,36.9891591563306
2016-07-20,35.33423887928303,33.65288377371097,36.95423740882462
2016-07-21,35.32190957374633,33.70554780010188,36.94630720107972
2016-07-22,35.31994643125291,33.72393359721626,37.03559289501894
2016-07-25,35.29969895175869,33.595101266249614,36.89949783157117
2016-07-26,35.23728040373936,33.6552529493666,36.79447455744374
2016-07-27,35.288310005229135,33.7269995064172,36.88152620001345
2016-07-28,35.27598069969245,33.610440812058805,36.96895440250317
2016-07-29,35.274017557199116,33.66243613782904,36.77706593142188
2016-08-01,35.77735961168188,34.13135939725315,37.33916219774753
2016-08-02,35.710416905533776,34.17610643313037,37.27602697990417
2016-08-03,35.76584080563817,34.09549921476074,37.33193816198595
2016-08-04,35.758993677543295,34.342297999768945,37.432038462218166
2016-08-05,35.77506442060228,34.18213887780029,37.34448164729883
2016-08-08,35.75821505894175,34.21674575956929,37.33003713807712
2016-08-09,35.69127235279371,34.1368161300512,37.309102078062345
2016-08-10,35.74669625289815,34.2409491452697,37.398055815270524
2016-08-11,35.739849124803236,34.113554381941,37.249959391098905
2016-08-12,35.75591986786224,34.13689021645854,37.267639338666086
2016-08-15,35.73907050620163,34.19677118926062,37.4231185434941
2016-08-16,35.67212780005361,34.022212133544365,37.29400791116678
2016-08-17,35.727551700157974,34.302981250152044,37.442913664427344
2016-08-18,35.720704572063106,34.119119643296706,37.2180172412995
2016-08-19,35.73677531512215,34.165662466613114,37.38238163278113
2016-08-22,35.7199259534615,34.19807598040553,37.241605069034044
2016-08-23,35.652983247313514,34.04565596093721,37.28680630826929
2016-08-24,35.70840714741795,34.19794527613675,37.24842010915113
2016-08-25,35.70156001932304,34.17993980510578,37.238922774437825
2016-08-26,35.71763076238208,34.141208595701336,37.347588031092315
2016-08-29,35.70078140072149,34.270836459784185,37.30394407322899
2016-08-30,35.63383869457345,33.91059623310595,37.21072689510046
2016-08-31,35.68926259467789,34.11905977449322,37.312821151357284
2016-09-01,37.90906684878394,36.124510359712104,39.51414024306274
2016-09-02,37.9454698061546,36.35057018569087,39.69835095889289
2016-09-06,37.96703318305045,36.317021933558955,39.634227408926996
2016-09-07,38.03667630785916,36.320835688282635,39.640209428205516
2016-09-08,38.039646901556864,36.395371292998604,39.63887479108922
2016-09-09,38.07604985892739,36.42331629348592,39.57049720776014
2016-09-12,38.16486001307518,36.55034268747203,39.78161190117464
2016-09-13,38.09761323582322,36.419166960731374,39.71417129123494
2016-09-14,38.167256360631875,36.488448434738594,39.76284802929226
2016-09-15,38.170226954329536,36.55913154549537,39.86056728859809
2016-09-16,38.206629911700176,36.60244351676176,39.80556418489881
2016-09-19,38.29544006584809,36.732365218480645,39.799120675068956
